train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.040892195,0.016728625,0.031598512,0.04275093,0.4163569,0.014869888,0.4163569,0.020446097
100,1,0.027624309,0.03314917,0.03499079,0.027624309,0.41252303,0.020257827,0.41252303,0.031307552
200,2,0.043010753,0.05376344,0.05376344,0.043010753,0.60215056,0.021505376,0.09677419,0.086021505
300,3,0.011940299,0.05970149,0.065671645,0.029850746,0.6686567,0.023880597,0.04477612,0.09552239
400,4,0.003787879,0.0056818184,0.035984848,0.03219697,0.42424244,0.011363637,0.2840909,0.20265152
500,5,0.016359918,0.014314928,0.09406953,0.032719836,0.4580777,0.026584867,0.2617587,0.096114516
600,6,0.012658228,0.025316456,0.050632913,0.025316456,0.70886075,0.03797468,0.0,0.1392405
700,7,0.020408163,0.008746356,0.069970846,0.046647232,0.6530612,0.008746356,0.034985423,0.1574344
800,8,0.01141925,0.008156607,0.044045676,0.027732464,0.365416,0.04893964,0.30179444,0.19249593
900,9,0.013661202,0.016393442,0.12295082,0.043715846,0.61202186,0.019125683,0.038251366,0.13387978
1000,10,0.0056603774,0.01509434,0.054716982,0.028301887,0.42264152,0.011320755,0.039622642,0.42264152
1100,11,0.003944773,0.003944773,0.049309663,0.0295858,0.4418146,0.013806706,0.015779093,0.4418146
1200,12,0.012477718,0.01604278,0.067736186,0.028520498,0.399287,0.010695187,0.06595366,0.399287
1300,13,0.02,0.06,0.12,0.006666667,0.37333333,0.033333335,0.013333334,0.37333333
1400,14,0.004316547,0.043165468,0.18705036,0.020143885,0.32230216,0.04172662,0.058992807,0.32230216
1500,15,0.007017544,0.019298246,0.06842105,0.01754386,0.39298245,0.0754386,0.02631579,0.39298245
1600,16,0.008976661,0.017953321,0.06822262,0.014362657,0.4021544,0.008976661,0.07719928,0.4021544
1700,17,0.010954617,0.04225352,0.13302034,0.014084507,0.35054773,0.03599374,0.06259781,0.35054773
1800,18,0.0044313148,0.022156574,0.16100442,0.016248154,0.3308715,0.047267355,0.08714919,0.3308715
