train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.15316455,0.14303797,0.064556964,0.12405063,0.046835445,0.07341772,0.11139241,0.2835443
100,1,0.21662469,0.16246851,0.055415615,0.09445844,0.037783377,0.04534005,0.105793454,0.28211588
200,2,0.19334975,0.15270936,0.045566503,0.115763545,0.039408866,0.054187194,0.12315271,0.27586207
300,3,0.23529412,0.25063938,0.0038363172,0.11636829,0.04859335,0.030690538,0.028132992,0.28644502
400,4,0.27805695,0.10552764,0.01675042,0.09045226,0.025125628,0.06365159,0.04522613,0.3752094
500,5,0.11067194,0.18181819,0.027667984,0.14426878,0.02964427,0.03557312,0.027667984,0.44268775
600,6,0.17307693,0.08974359,0.044871796,0.21794872,0.051282052,0.057692308,0.0064102565,0.35897437
700,7,0.06734694,0.16938776,0.046938777,0.10816327,0.053061225,0.06122449,0.036734693,0.45714286
800,8,0.1568323,0.12111801,0.05279503,0.07453416,0.041925468,0.06366459,0.14130434,0.3478261
900,9,0.06006006,0.21771772,0.03153153,0.14864865,0.04954955,0.09309309,0.06306306,0.33633634
1000,10,0.09016393,0.21994536,0.019125683,0.22267759,0.034153007,0.058743168,0.04918033,0.30601093
1100,11,0.12348993,0.30067113,0.014765101,0.15302013,0.029530201,0.040268455,0.03758389,0.30067113
1200,12,0.0896921,0.29986614,0.014725569,0.12048193,0.050870147,0.05488621,0.06961178,0.29986614
1300,13,0.13333334,0.2871795,0.0051282053,0.11282051,0.051282052,0.082051285,0.041025642,0.2871795
1400,14,0.09866667,0.29866666,0.028,0.15866667,0.036,0.042666666,0.038666666,0.29866666
1500,15,0.11756935,0.29590487,0.022457067,0.16908851,0.035667107,0.04359313,0.01981506,0.29590487
1600,16,0.10280374,0.2990654,0.012016022,0.15353805,0.054739654,0.040053405,0.03871829,0.2990654
1700,17,0.10751295,0.29015544,0.022020726,0.17746115,0.033678755,0.033678755,0.045336787,0.29015544
1800,18,0.096525095,0.2882883,0.025740026,0.19176319,0.034749035,0.036036037,0.038610037,0.2882883
