train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.3046875,0.17871094,0.26757812,0.24902344
100,1,0.29483283,0.19756839,0.18338399,0.3242148
200,2,0.3242148,0.15906788,0.19250253,0.3242148
300,3,0.34343433,0.13468014,0.1627385,0.359147
400,4,0.3038674,0.10607735,0.23646408,0.35359117
500,5,0.32161874,0.10969116,0.22790202,0.34078807
600,6,0.25619835,0.08264463,0.3305785,0.3305785
700,7,0.33092037,0.06514995,0.2730093,0.33092037
800,8,0.3187251,0.055776894,0.30677292,0.3187251
900,9,0.24865447,0.062432725,0.3444564,0.3444564
1000,10,0.27130976,0.06340957,0.33264032,0.33264032
1100,11,0.24695459,0.04429679,0.35437432,0.35437432
1200,12,0.2800852,0.050053246,0.34078807,0.3290735
1300,13,0.3,0.01904762,0.3809524,0.3
1400,14,0.28421053,0.042105265,0.33684212,0.33684212
1500,15,0.25339368,0.028280543,0.36199096,0.35633484
1600,16,0.2647059,0.03812636,0.34858388,0.34858388
1700,17,0.2991632,0.05125523,0.33472803,0.31485355
1800,18,0.27911857,0.049317945,0.33578175,0.33578175
