train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.23148148,0.17283951,0.2664609,0.32921812
100,1,0.33217594,0.17708333,0.12037037,0.37037036
200,2,0.26666668,0.20451978,0.16723163,0.36158192
300,3,0.37197453,0.14012739,0.08025478,0.40764332
400,4,0.39360395,0.13407134,0.078720786,0.39360395
500,5,0.3539823,0.22345133,0.06858407,0.3539823
600,6,0.37914693,0.11848341,0.123222746,0.37914693
700,7,0.3628118,0.14852607,0.1814059,0.30725622
800,8,0.35955057,0.18539326,0.09550562,0.35955057
900,9,0.32135522,0.20225872,0.14784394,0.32854208
1000,10,0.37869823,0.14556213,0.17988166,0.295858
1100,11,0.41666666,0.16927083,0.1796875,0.234375
1200,12,0.42160738,0.2397892,0.1541502,0.18445323
1300,13,0.4519774,0.14689265,0.18079096,0.22033899
1400,14,0.4249668,0.187251,0.22841966,0.15936255
1500,15,0.5432937,0.14940578,0.14940578,0.15789473
1600,16,0.47832587,0.18834081,0.16442451,0.16890882
1700,17,0.45519203,0.24608819,0.15078236,0.14793742
1800,18,0.41025642,0.2551282,0.17307693,0.16153847
