train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.0,0.13178295,0.86821705,0.0
100,1,0.16728625,0.0,0.0,0.8327138
200,2,0.15485075,0.0,0.009328358,0.8358209
300,3,0.087565675,0.028021015,0.09982487,0.78458846
400,4,0.08285164,0.019267824,0.03468208,0.86319846
500,5,0.09540636,0.045936394,0.06713781,0.79151946
600,6,0.11363637,0.030303031,0.007575758,0.8484849
700,7,0.07890961,0.043041606,0.23529412,0.6427547
800,8,0.05125149,0.035756852,0.37902266,0.533969
900,9,0.07084469,0.08855586,0.23024523,0.61035424
1000,10,0.07094595,0.05743243,0.11486486,0.7567568
1100,11,0.06440072,0.051878355,0.0822898,0.8014311
1200,12,0.06877579,0.044016507,0.2709766,0.6162311
1300,13,0.077922076,0.058441557,0.13636364,0.72727275
1400,14,0.059964728,0.09876543,0.051146384,0.79012346
1500,15,0.06462035,0.06946688,0.14216478,0.72374797
1600,16,0.07521368,0.08034188,0.07863248,0.765812
1700,17,0.07835821,0.052238807,0.03358209,0.8358209
1800,18,0.060150377,0.067669176,0.030075189,0.84210527
