train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.36132812,0.0546875,0.31054688,0.2734375
100,1,0.29785156,0.20410156,0.22851562,0.26953125
200,2,0.36035156,0.19433594,0.18847656,0.25683594
300,3,0.41308594,0.17089844,0.13574219,0.28027344
400,4,0.37109375,0.19042969,0.103515625,0.33496094
500,5,0.3642578,0.15527344,0.107421875,0.37304688
600,6,0.27734375,0.2109375,0.1015625,0.41015625
700,7,0.39746094,0.14550781,0.1328125,0.32421875
800,8,0.4267578,0.13574219,0.13574219,0.3017578
900,9,0.40039062,0.13476562,0.12792969,0.33691406
1000,10,0.4169922,0.10546875,0.123046875,0.3544922
1100,11,0.36621094,0.13378906,0.12695312,0.37304688
1200,12,0.38378906,0.12402344,0.15625,0.3359375
1300,13,0.38671875,0.11328125,0.13671875,0.36328125
1400,14,0.40625,0.111328125,0.14746094,0.33496094
1500,15,0.39257812,0.09667969,0.12109375,0.38964844
1600,16,0.37890625,0.10546875,0.119140625,0.39648438
1700,17,0.4248047,0.10839844,0.140625,0.32617188
1800,18,0.40625,0.111328125,0.14160156,0.3408203
