train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.25390625,0.25976562,0.16308594,0.3232422
100,1,0.19726562,0.20605469,0.15917969,0.4375
200,2,0.2151277,0.20923379,0.13555992,0.4400786
300,3,0.20618556,0.22474226,0.10721649,0.46185568
400,4,0.19522326,0.24195223,0.09761163,0.46521288
500,5,0.19793814,0.2443299,0.09587629,0.46185568
600,6,0.17289719,0.23364486,0.07009346,0.5233645
700,7,0.23921569,0.20588236,0.115686275,0.4392157
800,8,0.23500492,0.21042281,0.11406096,0.44051132
900,9,0.24289912,0.20959844,0.10871694,0.4387855
1000,10,0.21145834,0.221875,0.1,0.46666667
1100,11,0.2038835,0.22545847,0.08737864,0.4832794
1200,12,0.24036512,0.21501014,0.090263695,0.45436105
1300,13,0.18965517,0.25862068,0.06896552,0.4827586
1400,14,0.22540984,0.21721311,0.09836066,0.45901638
1500,15,0.23460722,0.21231422,0.077494696,0.47558385
1600,16,0.23372465,0.19850586,0.089647815,0.47812167
1700,17,0.23517169,0.20291363,0.09573361,0.46618107
1800,18,0.25918368,0.17959183,0.10408163,0.45714286
