step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,4.597777605056763,-14.529936,
2,5.2167041301727295,-14.544195,
3,5.8362884521484375,-14.138725,
4,6.450822591781616,-13.210682,
5,7.0602569580078125,-12.423816,
6,7.673319339752197,-10.74887,
7,8.286086559295654,-8.758369,
8,8.895131587982178,-9.594179,
9,9.507760286331177,-9.334658,
10,10.12073302268982,-12.316198,
11,10.735732555389404,-14.8588085,
12,11.345759868621826,-16.516071,
13,12.056705474853516,-18.994202,
14,12.655267238616943,-21.381708,
15,13.241904020309448,-23.261553,
16,13.820286989212036,-22.717148,
17,14.380782842636108,-21.630758,
18,14.942410945892334,-25.963732,
19,15.495041847229004,-23.71856,
20,16.03933024406433,-21.51842,
21,16.584997415542603,-21.962502,
22,17.12262487411499,-24.810116,
23,17.655797243118286,-23.455917,
24,18.178428173065186,-23.868004,
25,18.679108381271362,-22.242443,
26,19.167377948760986,-25.12944,
27,19.648540496826172,-20.842953,
28,20.12485671043396,-21.335207,
29,20.601086378097534,-20.622517,
30,21.063134908676147,-22.352821,
31,21.530401706695557,-22.376587,
32,21.99554681777954,-18.238272,
33,22.4596266746521,-17.207966,
34,22.920631170272827,-18.823364,
35,23.37714123725891,-17.2216,
36,23.839871644973755,-15.806781,
37,24.29620122909546,-15.517159,
38,24.75710701942444,-14.942608,
39,25.207109928131104,-15.98881,
40,25.663344144821167,-12.85655,
41,26.11029052734375,-12.156706,
42,26.56087875366211,-11.803366,
43,27.010244607925415,-16.375013,
44,27.44890785217285,-12.741037,
45,27.896404504776,-12.041378,
46,28.333932161331177,-9.715559,
47,28.779233694076538,-9.673982,
48,29.21500325202942,-10.431206,
49,29.656583070755005,-13.507546,
50,30.090293645858765,-13.393328,
51,30.534509897232056,-11.227768,
52,30.9753897190094,-8.782609,
53,31.41482710838318,-9.102375,
54,31.848461866378784,-9.492765,
55,32.282487869262695,-10.04969,
56,32.70928239822388,-10.350772,
57,33.137577533721924,-9.297585,
58,33.569186210632324,-8.298785,
59,34.00375247001648,-7.8804703,
60,34.43490743637085,-8.115458,
61,34.86572980880737,-7.4915237,
