step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.7533175945281982,-16.219864,
2,2.4998505115509033,-16.074665,
3,3.2388174533843994,-15.37554,
4,3.979053020477295,-13.431089,
5,4.719689846038818,-11.058453,
6,5.46105170249939,-8.075287,
7,5.926230192184448,-4.6335616,
8,7.452165603637695,-1.7310524,
9,8.194969415664673,-1.1147387,
10,8.94071650505066,-1.2768391,
11,9.685405254364014,-1.6447563,
12,10.43299126625061,-1.8513081,
13,11.180593013763428,-2.2816489,
14,11.642356395721436,-2.229393,
15,13.271807670593262,-2.4842908,
16,14.012670755386353,-2.8025365,
17,14.755539417266846,-2.885475,
18,15.494003772735596,-3.2273388,
19,16.226109504699707,-3.233817,
20,16.951690196990967,-3.612587,
21,17.384600400924683,-3.2593987,
22,18.987147331237793,-3.41365,
23,19.701778650283813,-3.6721377,
24,20.415860891342163,-3.650364,
25,21.129324913024902,-3.9919498,
26,21.8434100151062,-3.9462776,
27,22.557708263397217,-4.3598547,
28,22.986480474472046,-3.9147084,
29,24.565298080444336,-4.0879173,
30,25.278440475463867,-4.3855286,
31,25.991455078125,-4.351028,
32,26.705200910568237,-4.7380104,
33,27.416876792907715,-4.665471,
34,28.127339839935303,-5.123413,
35,28.555102586746216,-4.5910063,
36,30.1392023563385,-4.7636223,
37,30.84929656982422,-5.064984,
38,31.561288118362427,-4.952135,
39,32.27227568626404,-5.284315,
40,32.98285269737244,-5.0835648,
41,33.69319820404053,-5.434752,
42,34.11972689628601,-4.723452,
43,35.61864972114563,-4.750921,
44,36.33137083053589,-4.913188,
45,37.04470944404602,-4.690562,
46,37.75648355484009,-4.938031,
47,38.46957063674927,-4.729692,
48,39.18072557449341,-5.110095,
49,39.609423875808716,-4.5254807,
50,41.19210076332092,-4.645851,
51,41.90184450149536,-4.886605,
52,42.61341333389282,-4.745752,
53,43.32390856742859,-5.068345,
54,44.03628849983215,-4.878831,
55,44.74960660934448,-5.241769,
56,45.17799663543701,-4.606843,
57,46.7753643989563,-4.692519,
58,47.48818802833557,-4.8958797,
59,48.20156240463257,-4.715292,
60,48.91633152961731,-4.988161,
61,49.631808042526245,-4.7474356,
62,50.34644889831543,-5.1131754,
63,50.77638530731201,-4.5043473,
64,52.341999530792236,-4.584967,
65,53.06723475456238,-4.771827,
66,53.7943229675293,-4.6962166,
67,54.527793645858765,-4.851053,
68,55.27812957763672,-3.402094,
69,56.02901291847229,-3.7900429,
70,56.48386740684509,-1.8040899,
71,58.134363651275635,-1.0790046,
72,58.88865256309509,-0.9047284,
73,59.64223837852478,-1.2741925,
74,60.39551758766174,-1.3663684,
75,61.14973282814026,-0.89204484,
76,61.904431104660034,-0.7436091,
77,62.35916185379028,-0.71081156,
78,64.00770711898804,-0.8541045,
79,64.76247692108154,-0.8955407,
80,65.51991820335388,-0.7833077,
81,66.27574491500854,-0.90062237,
82,67.03107404708862,-0.7257705,
83,67.78609991073608,-0.8488052,
84,68.23976421356201,-0.72897464,
85,69.79353618621826,-0.86483645,
86,70.54785633087158,-1.014014,
87,71.30368185043335,-0.85916924,
88,72.05997490882874,-0.6560726,
89,72.82159638404846,-0.78255165,
90,73.5887598991394,-0.7783867,
91,74.05306363105774,-0.93931615,
92,75.83955574035645,-0.83102894,
93,76.65881299972534,-0.6750946,
94,77.43739223480225,-0.6411778,
95,78.20716309547424,-0.72787654,
96,78.97324109077454,-0.82207537,
97,79.74243450164795,-0.647476,
98,80.20554494857788,-0.5938207,
99,81.77901339530945,-0.6747158,
100,83.02648711204529,-0.6895819,
101,83.79520392417908,-0.5737125,
102,84.56585097312927,-0.51203054,
103,85.3326804637909,-0.70199764,
104,86.09956955909729,-0.49937728,
105,86.5614721775055,-0.58666545,
