train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.32820514,0.1374359,0.2871795,0.2471795
100,1,0.35209712,0.11699779,0.1777042,0.35320088
200,2,0.32056892,0.14770241,0.18161926,0.3501094
300,3,0.33613446,0.19432773,0.13340336,0.33613446
400,4,0.34078807,0.22364217,0.09478168,0.34078807
500,5,0.31152344,0.2783203,0.107421875,0.30273438
600,6,0.32327586,0.2413793,0.09051724,0.3448276
700,7,0.24363233,0.28460687,0.11738649,0.35437432
800,8,0.34188035,0.21688034,0.099358976,0.34188035
900,9,0.33264032,0.1933472,0.14137214,0.33264032
1000,10,0.33755276,0.22890295,0.09599156,0.33755276
1100,11,0.35509735,0.20733105,0.07101947,0.3665521
1200,12,0.31495228,0.2545069,0.0911983,0.33934253
1300,13,0.3478261,0.23913044,0.06521739,0.3478261
1400,14,0.28774062,0.2816616,0.10638298,0.3242148
1500,15,0.33970276,0.2611465,0.05944798,0.33970276
1600,16,0.33949944,0.22850925,0.083786726,0.34820458
1700,17,0.28401726,0.25701943,0.11339093,0.34557235
1800,18,0.29969728,0.26841575,0.10898083,0.32290617
