,entropy↑,KL_to_uniform↓,Gini↓,Skew(max/min)↓,ActiveFrac↑,TemporalChurn↓
SwitchDiffuSeq-2e-1,0.43860610131099803,0.25454107925089914,0.28672906592446706,35094.17873307452,0.982456140350877,0.07501474618324643
SwitchDiffuSeq-2e-1.25,0.3618795534526054,0.33126762710964885,0.3495111844944541,48257.54282117664,0.9736842105263156,0.0696163652556226
SwitchDiffuSeq-2e-1.75,0.3849824130974182,0.30816476746447913,0.31461124895326686,35104.89477730025,0.975877192982456,0.10087374860950826
SwitchDiffuSeq-4e-1,1.0013244497648117,0.38496991135848074,0.39145361771759396,38521.29912761264,0.9769736842105262,0.08965858342299644
SwitchDiffuSeq-4e-1.25,0.9266217273615355,0.4596726337613967,0.4372702076635213,29880.49112715834,0.9736842105263159,0.09958815446380216
SwitchDiffuSeq-4e-1.75,0.8485150067588617,0.5377793543659919,0.48219886023223063,63530.09318236692,0.9396929824561404,0.12898059795330466
SwitchDiffuSeq-8e-1,1.6062582172187765,0.47318332446881534,0.46251038230193764,71249.56123573643,0.9364035087719297,0.08896931183421554
SwitchDiffuSeq-8e-1.25,1.5175293518724597,0.5619121898147699,0.5061046000056731,62867.717135077284,0.9325657894736844,0.08860268357619248
SwitchDiffuSeq-8e-1.75,1.4200239309134683,0.6594176107718315,0.5531919830542072,49793.85183602679,0.8996710526315791,0.09350657570841579
