layer,entropy_mean,kl_uniform_mean,gini_mean,skew_mean,active_frac_mean,temporal_churn_mean,entropy_std,kl_uniform_std,gini_std,skew_std,active_frac_std,temporal_churn_std
input_transformers_layers_0_ffn_gate,0.6912829211056075,0.0018642594553377307,0.027220891785026537,1.1169714925040455,1.0,0.022430778728112874,0.0016677508915722606,0.0016677508915722461,0.013788015811565307,0.062398940345941636,0.0,0.01241000991700958
input_transformers_layers_10_ffn_gate,0.41173799822299373,0.28140918233937956,0.29900362775452366,52639.708655459915,0.9736842105263158,0.1513549786037524,0.21478835544205985,0.21478835544479713,0.16770003587344035,223295.19789454844,0.11164843913471802,0.18133174541869737
input_transformers_layers_11_ffn_gate,0.24796662079629456,0.44518055976750665,0.42882987955496804,105273.75733710657,0.9473684210526315,0.01934895128310898,0.08739516599634953,0.08739516600445255,0.02573464120496966,306888.91241346486,0.15344610249592897,0.027223249507539248
input_transformers_layers_1_ffn_gate,0.42893951059256746,0.26420766996837786,0.3315621137691722,5.997023029104821,1.0,0.06249918679129777,0.09719262805773053,0.09719262805773056,0.09090630569865565,2.3147662374854665,0.0,0.07559312441261341
input_transformers_layers_2_ffn_gate,0.469876370932032,0.22327080962891335,0.31320772172081773,4.709957294871828,1.0,0.04410957730505112,0.06135870637526371,0.061358706375263715,0.06521606007829386,1.1211375431865331,0.0,0.08650038803752565
input_transformers_layers_3_ffn_gate,0.636040576457731,0.05710660410321441,0.11488056819231829,2.647632127839033,1.0,0.13083753350346894,0.1167889009429338,0.11678890094293384,0.11085885125495105,4.458065657693229,0.0,0.10461685080345415
input_transformers_layers_4_ffn_gate,0.6764053090454079,0.016741871515537528,0.07234129709071391,1.380860737809115,1.0,0.07828276404090928,0.019888676388058493,0.019888676388058503,0.05499329517664004,0.33302622850514985,0.0,0.06243997781568498
input_transformers_layers_5_ffn_gate,0.27991534440693444,0.4132318361554389,0.41597563842523155,52642.14589541129,0.9736842105263158,0.03493489625267571,0.08650924447024369,0.08650924447486406,0.03267440538582972,223294.62333525147,0.11164843913471802,0.049586317615946486
input_transformers_layers_6_ffn_gate,0.25984088561133983,0.4333062949510334,0.4250832905028798,52643.1680790074,0.9736842105263158,0.029072804315881513,0.0739130235266609,0.07391302353168085,0.02576892283800475,223294.38239832228,0.11164843913471802,0.05114759582112924
input_transformers_layers_7_ffn_gate,0.4486067848380639,0.24454039572430944,0.27554609987804185,52637.29020927861,0.9736842105263158,0.14591879203248165,0.20022686458169248,0.20022686458489175,0.16728895770322785,223295.76785362602,0.11164843913471802,0.26265483811109946
input_transformers_layers_8_ffn_gate,0.31540650736569065,0.37774067319668275,0.4009263108044844,52640.03324792387,0.9736842105263158,0.0331815230497823,0.08442243095325115,0.08442243095858604,0.030747145855608185,223295.12127953963,0.11164843913471802,0.05240161238017064
input_transformers_layers_9_ffn_gate,0.3972543863573148,0.29589279420505854,0.33617135161542633,52638.18892802444,0.9736842105263158,0.14820516829243469,0.16304968038635181,0.16304968038983084,0.11876577069676485,223295.55601721327,0.11164843913471802,0.1636028460725836
