layer,entropy_mean,kl_uniform_mean,gini_mean,skew_mean,active_frac_mean,temporal_churn_mean,entropy_std,kl_uniform_std,gini_std,skew_std,active_frac_std,temporal_churn_std
input_transformers_layers_0_ffn_gate,1.924503996247731,0.15493754543310503,0.2901996663633933,10.701259612252485,0.993421052631579,0.057218930254478884,0.05743313361229371,0.057433133612293685,0.05692167478929746,11.219634185180436,0.027912109783679508,0.024318402311488525
input_transformers_layers_10_ffn_gate,1.0596093435625262,1.0198321981327867,0.7020148309219465,171330.9853691704,0.7960526315789473,0.07186003293692385,0.04241248685017018,0.042412486867679164,0.01597459322407958,291971.79975451983,0.14171486334564484,0.11324019316125188
input_transformers_layers_11_ffn_gate,1.3713485484905987,0.7080929931931328,0.6023092750982304,33655.28383235807,0.8486842105263158,0.13489332480669136,0.07259146003235781,0.07259146003796235,0.027452476381830695,142487.28241647614,0.07672305124796447,0.17217067493099428
input_transformers_layers_1_ffn_gate,1.8689174219095352,0.21052411977130073,0.35097108462481746,10.379841046637285,1.0,0.0586041772021364,0.0547628669017619,0.0547628669017618,0.0500738062485573,6.006371810925156,0.0,0.03120249345057295
input_transformers_layers_2_ffn_gate,1.8134062808030593,0.26603526088067236,0.38472004259812054,28942.337060568596,0.9802631578947368,0.076428821233803,0.06998792295030358,0.06998792295567842,0.04586123665162889,84395.76630821702,0.045580284409707295,0.06664950333686447
input_transformers_layers_3_ffn_gate,1.5150600154121314,0.5643815262687043,0.5454595979437588,48.70414777050735,0.8881578947368421,0.1004857761650762,0.08798765364603855,0.08798765364603857,0.045141330515813,26.876256331612485,0.06900058211645735,0.08416528927911647
input_transformers_layers_4_ffn_gate,1.5482423684874866,0.5311991731933494,0.541420528156624,50.28607922143418,0.9210526315789473,0.12361931082273597,0.06734422490793474,0.06734422490793474,0.03201751348047333,43.57347135354727,0.10106770720879747,0.08780547245765213
input_transformers_layers_5_ffn_gate,1.1805502210015377,0.8988913206879842,0.6341183464705067,73993.6755294124,0.9605263157894737,0.12335495424318303,0.1540602962356862,0.1540602962583621,0.047694907920515485,216990.13865276767,0.14079562209889934,0.12753439918546
input_transformers_layers_6_ffn_gate,1.3958796513646483,0.6835618903234258,0.5921266042821473,49480.66041627703,0.8881578947368421,0.10624105077269301,0.14933785785539705,0.14933785787568574,0.04761715676413616,147656.32039467257,0.15651812175487265,0.10781414764390153
input_transformers_layers_7_ffn_gate,1.0390205991951857,1.040420942495784,0.6924591166578271,176767.78236599042,0.8223684210526315,0.10951325775861308,0.08547258724553503,0.08547258724319297,0.03079058463515546,302372.11214825726,0.14798976156844726,0.19186668612962088
input_transformers_layers_8_ffn_gate,1.1602853356427503,0.9191562060453243,0.6435980509139643,63149.43763287627,0.9210526315789473,0.07125999246987763,0.0815202960471003,0.08152029606757401,0.02750314351800139,184907.0403117498,0.14171486334564484,0.07931350210589182
input_transformers_layers_9_ffn_gate,1.1634633888444263,0.9159781528364096,0.6589066526191495,85.98849801748797,0.7763157894736842,0.08859927983477693,0.12810948863922988,0.1281094886392299,0.03485214956814164,55.56866367902117,0.14944495646842826,0.075506361235044
