train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.34632036,0.16017316,0.2034632,0.2900433
100,1,0.33898306,0.11440678,0.21610169,0.33050847
200,2,0.32258064,0.16129032,0.23387097,0.28225806
300,3,0.3137255,0.15686275,0.22745098,0.3019608
400,4,0.34188035,0.10683761,0.20940171,0.34188035
500,5,0.34513274,0.013274336,0.28761062,0.3539823
600,6,0.3652968,0.03196347,0.23744293,0.3652968
700,7,0.27312776,0.02202643,0.3524229,0.3524229
800,8,0.33333334,0.09166667,0.30833334,0.26666668
900,9,0.2943723,0.012987013,0.34632036,0.34632036
1000,10,0.36697248,0.02293578,0.24311927,0.36697248
1100,11,0.3125,0.05,0.30416667,0.33333334
1200,12,0.33898306,0.004237288,0.31779662,0.33898306
1300,13,0.34080717,0.02690583,0.2735426,0.35874438
1400,14,0.34061137,0.02183406,0.28820962,0.34934497
1500,15,0.22596154,0.0048076925,0.3846154,0.3846154
1600,16,0.26940638,0.0,0.3652968,0.3652968
1700,17,0.3030303,0.0043290043,0.34632036,0.34632036
1800,18,0.2920354,0.0,0.3539823,0.3539823
