train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.13592233,0.0,0.08737864,0.776699
100,1,0.082474224,0.030927835,0.06185567,0.82474226
200,2,0.07643312,0.37579617,0.03821656,0.50955415
300,3,0.12790698,0.3372093,0.069767445,0.4651163
400,4,0.10784314,0.068627454,0.039215688,0.78431374
500,5,0.09803922,0.0882353,0.029411765,0.78431374
600,6,0.09615385,0.086538464,0.048076924,0.7692308
700,7,0.09615385,0.09615385,0.03846154,0.7692308
800,8,0.10655738,0.22131148,0.016393442,0.6557377
900,9,0.07692308,0.21367522,0.025641026,0.6837607
1000,10,0.06779661,0.22033899,0.033898305,0.6779661
1100,11,0.03267974,0.4117647,0.03267974,0.52287585
1200,12,0.066176474,0.31617647,0.029411765,0.5882353
1300,13,0.05839416,0.34306568,0.01459854,0.5839416
1400,14,0.05691057,0.2601626,0.032520324,0.6504065
1500,15,0.05263158,0.21052632,0.03508772,0.7017544
1600,16,0.045454547,0.19090909,0.036363635,0.72727275
1700,17,0.046728972,0.1588785,0.046728972,0.74766356
1800,18,0.04347826,0.2173913,0.04347826,0.6956522
