train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.7032967,0.0,0.0,0.0,0.0,0.104395606,0.0,0.1923077
100,1,0.114893615,0.54468083,0.09361702,0.04680851,0.038297873,0.017021276,0.08510638,0.05957447
200,2,0.12,0.5688889,0.053333335,0.04888889,0.04,0.044444446,0.044444446,0.08
300,3,0.09569378,0.61244017,0.043062203,0.09569378,0.05263158,0.028708134,0.028708134,0.043062203
400,4,0.14705883,0.627451,0.039215688,0.063725494,0.063725494,0.019607844,0.034313727,0.004901961
500,5,0.125,0.5925926,0.023148147,0.06944445,0.06481481,0.032407407,0.0787037,0.013888889
600,6,0.12962963,0.5925926,0.055555556,0.055555556,0.074074075,0.0,0.074074075,0.018518519
700,7,0.18518518,0.5925926,0.023148147,0.050925925,0.027777778,0.027777778,0.0787037,0.013888889
800,8,0.19130434,0.5565217,0.039130434,0.060869563,0.05652174,0.034782607,0.034782607,0.026086956
900,9,0.14847161,0.558952,0.026200874,0.074235804,0.0349345,0.07860262,0.06113537,0.01746725
1000,10,0.18095239,0.60952383,0.042857144,0.071428575,0.00952381,0.042857144,0.028571429,0.014285714
1100,11,0.165,0.64,0.035,0.09,0.035,0.02,0.015,0.0
1200,12,0.22171946,0.57918555,0.018099548,0.049773756,0.027149322,0.036199097,0.05882353,0.009049774
1300,13,0.16981132,0.6037736,0.03773585,0.094339624,0.0,0.03773585,0.056603774,0.0
1400,14,0.1904762,0.60952383,0.033333335,0.057142857,0.004761905,0.028571429,0.061904762,0.014285714
1500,15,0.16190477,0.60952383,0.028571429,0.07619048,0.004761905,0.033333335,0.071428575,0.014285714
1600,16,0.14778325,0.63054186,0.02955665,0.06896552,0.024630541,0.039408866,0.049261082,0.009852217
1700,17,0.19323671,0.6183575,0.009661836,0.077294685,0.009661836,0.028985508,0.038647342,0.024154589
1800,18,0.17525773,0.6597938,0.020618556,0.06185567,0.036082473,0.025773196,0.0154639175,0.005154639
