train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.09859155,0.0,0.90140843,0.0
100,1,0.10541311,0.11396012,0.7293447,0.051282052
200,2,0.19251336,0.080213904,0.684492,0.04278075
300,3,0.11953353,0.07580175,0.7463557,0.058309037
400,4,0.07185629,0.098802395,0.7664671,0.06287425
500,5,0.072886296,0.113702625,0.7463557,0.0670554
600,6,0.083333336,0.11904762,0.7619048,0.035714287
700,7,0.11627907,0.09011628,0.74418604,0.049418606
800,8,0.10632184,0.083333336,0.7356322,0.07471264
900,9,0.08405797,0.10144927,0.742029,0.072463766
1000,10,0.08708709,0.06906907,0.7687688,0.075075075
1100,11,0.08682635,0.0748503,0.7664671,0.07185629
1200,12,0.09337349,0.060240965,0.7710843,0.07530121
1300,13,0.06329114,0.07594936,0.8101266,0.050632913
1400,14,0.100890204,0.07418398,0.7596439,0.0652819
1500,15,0.07250755,0.081571,0.7734139,0.07250755
1600,16,0.06097561,0.076219514,0.7804878,0.08231708
1700,17,0.09422492,0.051671732,0.7781155,0.075987846
1800,18,0.0754717,0.056603774,0.8050314,0.062893085
